Submitted on,Technical Name,Name,Original performer,Original date performed,Video link,Start position,End position,Difficulty,Description,Do you have any tips?
11/03/2025 20:43:07,360 Double Darth Vader,MasterVader,Ian Eisenberg,08/07/2024,https://www.instagram.com/p/C9U2gAVMFz6/,ROCKET,EXPOSURE,9,360 Darth Vader followed by another roll to feet,
11/03/2025 20:51:03,King Prawn to Shoulder,Shoulder Prawn,Ian Eisenberg,22/08/2024,https://www.instagram.com/p/C--bsTgiSON/,ROCKET,SHOULDER,7,King Prawn to Shoulder,
11/03/2025 21:05:30,Cork 540 Space Orbital to Feet,Spork,Ian Eisenberg,07/11/2024,https://www.instagram.com/p/DCFUuNAO2zK/,STAND,STAND,9,...,
11/03/2025 21:13:43,Double Shoulder Vader,,Ian Eisenberg,20/09/2024,https://www.instagram.com/p/DGTgGw4sJyp/,SHOULDER,EXPOSURE,9,ShoulderVader with an additional roll.,
18/03/2025 07:52:17,Shoulder Frontroll to Shoulder,Shoulder Frontflip,Sebastian Egger,18/11/2022,https://www.instagram.com/p/Craw32qgRH3/,SHOULDER,SHOULDER,4,From Shoulder do a Frontroll but don't stop in Korean but keep going to land in Shoulder.,
18/03/2025 07:59:23,360 Backbounce to Backbounce,Backbounce Spiral,Sebastian Egger,18/12/2022,https://www.instagram.com/p/CnXOzwgK3qb/,BACK,BACK,5,From Backbounce grab the line with one hand below your back and step on the line with the opposite foot. Turn towards the chest and swap both your hands and feet to be able to finish the full rotation.,
18/03/2025 08:05:03,Hammock Backroll from Feet to Feet,Lasagna Flip,Sebastian Egger,02/02/2024,https://www.instagram.com/p/C25OqhrM8zh/,STAND,STAND,9,Start with an early Hammock Roll from Feet and just when you finished the Hammock Roll part you add a Backroll to Feet.,
18/03/2025 08:09:25,Dislocate Resurrection,Dislocator,Sebastian Egger,19/06/2024,https://www.instagram.com/p/C8aFBqrMHZc/,ROCKET,EXPOSURE,6,Drop to Dislocate and finish the trick like you would for a Resurrection,"Make sure your shoulders are ready for it! First try it statically from Rocket, then drop in from Sofa and only when this feels safe you can start trying from feet."
18/03/2025 08:12:54,Shoulder Roll Frontroll to Feet,,Sebastian Egger,18/06/2024,https://www.instagram.com/p/C85JKKtMsy4/,SHOULDER,STAND,8,Start with a Shoulder Roll then add a Frontroll to Feet.,
18/03/2025 08:16:13,FS 180 Shoulder Spin,,Sebastian Egger,18/08/2024,https://www.instagram.com/p/C-qfaMXS70_/,SHOULDER,SHOULDER,5,Spin 180 on your shoulder. You first have to regrab the far hand then to finish on the other shoulder you have to regrab the close hand (which on the other shoulder is now the far hand).,
18/03/2025 08:19:39,FS 360 Shoulder Spin,,Sebastian Egger,15/05/2024,https://www.instagram.com/p/C-5Bp3My3vw/,SHOULDER,SHOULDER,7,Watch the video...,
18/03/2025 08:24:36,360 Nevermind Roll to Feet,,Sebastian Egger,12/09/2024,https://youtu.be/r6hcjIbrbr8?t=229,NEVERMIND,EXPOSURE,8,Nevermind with a roll and a 360 ending in Expo.,
18/03/2025 08:26:34,FS 540 Nevermind,,Sebastian Egger,19/09/2024,https://youtu.be/r6hcjIbrbr8?t=236,NEVERMIND,EXPOSURE,8,Nevermind with a FS 540 spin.,
18/03/2025 08:29:37,NH BS 180 Backflip,,Sebastian Egger,20/09/2024,https://youtu.be/r6hcjIbrbr8?t=263,STAND,STAND,8,180 Backflip but without using your hands,
18/03/2025 08:38:24,Leash Rewind to Rocket Mount,Rewind Yo-Yo,Sebastian Egger,19/09/2025,https://youtu.be/r6hcjIbrbr8?t=281,LEASH,EXPOSURE,8,You drop to a leashfall and in the bottom of the bounce you wind yourself up in the leash then unwind again and use the momentum to get back up to the line. Finish in Expo.,"You should probably wear a cup to protect your genitals (males and females!).
Having a shorter leash for this trick helps."
18/03/2025 08:42:22,Leash Rewind to Reverse Rocket Mount,Reverse Rewind Yo-Yo,Sebastian Egger,19/09/2024,https://www.youtube.com/watch?v=r6hcjIbrbr8&t=300s,LEASH,EXPOSURE,9,"Drop to a leashfall and in the bottom of the bounce you wind yourself up in the leash, then unwind again and use the momentum to get back up to the line. Finish with a Reverse Rocket Mount.","You should probably wear a cup to protect your genitals (males and females!).
A short leash helps for this trick."
14/04/2025 20:27:40,Triple Can of Soup,Robinspin,Jordan Robinson,26/03/2025,https://www.youtube.com/shorts/Zch-UMRZAhc,SOUP,STAND,9,Three rolls from soup to standing in one bounce.,Doing the trick chongo-style with a down leg for all three rotations lets you use that leg to huck each time you come around.
25/06/2025 04:01:14,Is a Ddk 360 BS to spiral (360) to chest ,Misty Spin Roll ,José Perales ,20/06/2025,,DOUBLE DROPKNEE,CHEST,6,Is a ddk 360 BS to other Spin like a spiral in trickline under line to chest ,"Stay on the opposite side of the ddk to start the second turn below the line, all in one turn."
30/08/2025 17:02:01,Quad Back Yoda,,Davis Hermes,01/08/2025,,EXPOSURE,EXPOSURE,10,Four Back Yodas in one bounce. Sounds hard right? It is!,
01/11/2025 20:15:36,Panic Roll to Darkside Roll in the same bounce. Could also be considered a Panic Roll Rewind to Feet.,Doombringer,Jordan Robinson,30/08/2025,,SOFA,EXPOSURE,8,Do a Panic Roll and set up for a Darkside Roll out of it. Similar to a Bangarang but starting with a Panic Roll.,"The Panic Roll should be as fast as you can muster without the rotational force opening up your legs so that you can't get them on the line. I try to aim to get my feet on the line as quickly as possible so that I have something to pull against for the second half. Hand positioning for the Panic Roll is super wide so that there's space to fit the legs in between them.

The leash ring is best left between the legs but with the leash rope wrapped around the back of your leg so that you unwrap it during the Panic Roll. This will make it so that on the Darkside Roll portion of the trick the leash ring/rope is outside of your hands and completely out of the way of your feet as you sneak them onto the line.

If you're slow with getting your second foot up for the Darkside portion you'll end up imbalanced in the direction of the line and can fall sideways into it like an overhooked Almighty.

For me this trick took 7 bounces minimum."
23/12/2025 10:30:48,360 holy grail ,,Lukas Blenkinsopp,14/12/2025,,STAND,STAND,9.5,Start with a 360 almighty as you complete the first rotation reach down and grab the line and do a front barrel/yoda,Focus on grabbing the line as you do the almighty so that you are grabbing the line as you come around on the top almighty to whip the barrel around quickly 
25/12/2025 16:17:29,From korean sick nastyroll to Nevermid ,Sick nastyroll and Nevermid ,José Perales,22/12/2025,,KOREAN,NEVERMIND,6,From korean sick nastyroll to Nevermid ,Step on it hard
25/12/2025 16:41:57,Back Korean 180 roll to Nevermid ,Fire Mind,José Perales ,22/12/2025,,KOREAN,NEVERMIND,6,"From Korean, rotate backward, taking the line, making a roll, and following that roll into the Nevermid stance, ending in feet.",Step on it hard
-,Korean 180,,,,https://www.youtube.com/watch?v=3GWR5ZzSRBg,KOREAN,KOREAN,1,"From Korean grab the line with both hands in front of you. Towards the top of the bounce swing one leg over the line so that you end up in the belly position. Then swing the other leg over the line so that you are back in Korean, only facing the other direction this time.","If it is hard to get the first leg over the line, try starting later in the bounce;As a preexercise you can practice the transition from Korean to Belly and vice verse in isolation before putting them together;"
,Sick Nasty 180,,,,,,,,,
