legacy_id,new_id,tier,legacy_name,new_name
10088,344,exact,Rocket Backflip,Rocket Backflip
10089,382,exact,Side Roll over Neck,Side Roll over Neck
10090,484,exact,Back Chest Roll to Feet,Back Chest Roll to Feet
10092,488,exact,Hammock Roll to Feet,Hammock Roll to Feet
10093,168,exact,BS 270 Can of Soup,BS 270 Can of Soup
10094,411,exact,Exposure Orbital to Sofa,Exposure Orbital to Sofa
10095,412,exact,Antihero from Feet,Antihero from Feet
10096,310,exact,180 to Orbital,180 to Orbital
10097,205,exact,Rocket Mount 180,Rocket Mount 180
10098,384,exact,Sick Nasty Double Roll,Sick Nasty Double Roll
10099,385,exact,Sofa 360 Double Roll,Sofa 360 Double Roll
10100,478,exact,BS 180 Front Korean Roll to Feet,BS 180 Front Korean Roll to Feet
10101,158,exact,Back Belly Roll to Feet,Back Belly Roll to Feet
10102,255,exact,Flowflip to Feet,Flowflip to Feet
10103,299,exact,Backbounce Richy Roll to Feet,Backbounce Richy Roll to Feet
10104,199,exact,Shoulder Roll to Feet,Shoulder Roll to Feet
10105,355,exact,Panic Roll to Shoulder,Panic Roll to Shoulder
10106,127,exact,Double Hammock Roll from Feet,Double Hammock Roll from Feet
10107,177,exact,Double Sofa Roll to Feet,Double Sofa Roll to Feet
10109,386,exact,Sick Nasty 360,Sick Nasty 360
10110,387,exact,Tre Nasty Roll,Tre Nasty Roll
10111,296,exact,Chest Roll 180 Flatspin to Feet,Chest Roll 180 Flatspin to Feet
10112,351,exact,Shapeshifter,Shapeshifter
10113,400,exact,Rocket Mount Side Roll to Sofa,Rocket Mount Side Roll to Sofa
10114,422,exact,Korean Roll from Feet to Feet,Korean Roll from Feet to Feet
10115,163,exact,180 Orbital to Feet,180 Orbital to Feet
10116,142,exact,Sick Nasty 360 to Chest,Sick Nasty 360 to Chest
10117,178,exact,Freak Nasty to Feet,Freak Nasty to Feet
10118,423,exact,540 Spin,540 Spin
10119,259,exact,Yoda Roll,Yoda Roll
10120,260,exact,Back Yoda Roll,Back Yoda Roll
10121,206,exact,Reverse Rocket Mount,Reverse Rocket Mount
10122,420,exact,Barrel Roll,Barrel Roll
10123,421,exact,Back Barrel Roll,Back Barrel Roll
10124,261,exact,Almighty Flip,Almighty Flip
10125,426,exact,No Foot Almighty Flip,No Foot Almighty Flip
10126,311,exact,180 Back Roll from Feet,180 Back Roll from Feet
10127,179,exact,NH Panic Roll to Feet,NH Panic Roll to Feet
10128,207,exact,Shrimpflip 180 to Feet,Shrimpflip 180 to Feet
10129,312,exact,180 Front Roll from Feet,180 Front Roll from Feet
10130,427,exact,360 Orbital to Feet,360 Orbital to Feet
10132,208,exact,Antihero to Feet,Antihero to Feet
10133,164,exact,90 to Yoda Roll,Panic Roll Feet to Feet
10134,264,exact,Han Solo,Han Solo
10135,300,exact,Backbounce Panic Roll 180 to Feet,Backbounce Panic Roll 180 to Feet
10136,424,exact,Barrel Almighty Flip,Barrel Almighty Flip
10137,180,exact,Panic Double Roll to Feet,Panic Double Roll to Feet
10138,425,exact,Back Barrel Almighty Flip,Back Barrel Almighty Flip
10139,465,exact,Double Can of Soup,Double Can of Soup
10140,181,exact,Sofa Roll 360 to Feet,Sofa Roll 360 to Feet
10141,209,exact,FS 360 Rocket Mount,FS 360 Rocket Mount
10142,182,exact,Sofa 540 to Feet,Sofa 540 to Feet
10143,262,exact,Back Almighty Flip,Back Almighty Flip
10144,428,exact,Switch 270 Yoda Roll Fake 90,Switch 270 Yoda Roll Fake 90
10145,183,exact,Butter Roll to Feet,Butter Roll to Feet
10146,429,exact,Hammock Roll from Feet to Feet,Hammock Roll from Feet to Feet
10147,269,exact,Panic Roll 180 from Feet to Feet,Sofa Roll 360 from Feet to Feet
10148,430,exact,Back Roll from Feet to Feet,Back Roll from Feet to Feet
10149,210,exact,Rocket Front Belly Roll to Feet,Rocket Front Belly Roll to Feet
10150,270,exact,Double Back Yoda Roll,Double Back Yoda Roll
10151,185,exact,Sick Nasty Roll to Feet,Sick Nasty Roll to Feet
10152,211,exact,180 Darth Vader,180 Darth Vader
10153,271,exact,180 Almighty Flip,180 Almighty Flip
10154,431,exact,Double Barrel Roll,Double Barrel Roll
10155,432,exact,Frontroll from Feet to Feet,Frontroll from Feet to Feet
10156,272,exact,Double Yoda Roll,Double Yoda Roll
10157,433,exact,Fake 360 Almighty Flip,Fake 360 Almighty Flip
10158,434,exact,FS 360 Barrel Roll,FS 360 Barrel Roll
10159,235,exact,Makako to Feet,Makako to Feet
10160,257,exact,Despedido to Feet,Despedido to Feet
10161,212,confirmed,180 Super Sonic Mount,180 Supersonic
10162,435,exact,360 Almighty Flip,360 Almighty Flip
10163,213,exact,Reverse Super Sonic Mount,Reverse Super Sonic Mount
10164,275,exact,Triple Back Yoda Roll,Triple Back Yoda Roll
10165,436,exact,Barrel Almighty Flip to Barrel Roll,Barrel Almighty Flip to Barrel Roll
10166,276,exact,Darth Vader from Feet,Darth Vader from Feet
10167,277,exact,Double Back Almighty Flip,Double Back Almighty Flip
10168,278,exact,Double Front Almighty Flip,Double Front Almighty Flip
10169,463,exact,Back Can of Soup,Back Soup Roll to Feet
10170,145,exact,Back Korean Roll 360 to Chest,Back Korean Roll 360 to Chest
10171,265,exact,180 Front Yoda Roll,180 Front Yoda Roll
